Final area = 202776
Black area = 23275

block_name lower_left(x,y)coordinate upper_right(x,y)coordinate
sb91 (323, 507) (356, 563)
sb52 (269, 523) (323, 568)
sb83 (269, 507) (291, 523)
sb22 (235, 507) (269, 556)
sb50 (282, 475) (349, 507)
sb40 (256, 475) (282, 504)
sb87 (302, 436) (346, 475)
sb28 (256, 436) (302, 475)
sb53 (235, 436) (256, 479)
sb13 (300, 388) (357, 436)
sb49 (235, 388) (300, 435)
sb73 (287, 327) (354, 388)
sb39 (235, 327) (287, 382)
sb79 (316, 266) (357, 326)
sb37 (296, 266) (316, 326)
sb72 (235, 266) (296, 327)
sb46 (317, 232) (356, 254)
sb55 (261, 232) (317, 266)
sb31 (235, 232) (261, 266)
sb57 (0, 550) (47, 568)
sb99 (168, 501) (234, 550)
sb82 (168, 454) (225, 501)
sb3 (168, 417) (235, 454)
sb93 (168, 382) (233, 417)
sb68 (168, 330) (231, 382)
sb25 (113, 505) (167, 544)
sb47 (135, 440) (168, 505)
sb0 (135, 397) (168, 440)
sb76 (113, 464) (135, 497)
sb84 (113, 397) (135, 464)
sb34 (113, 370) (167, 397)
sb81 (113, 330) (163, 370)
sb92 (210, 304) (226, 330)
sb85 (190, 304) (210, 329)
sb74 (190, 266) (232, 304)
sb14 (147, 266) (190, 329)
sb80 (131, 266) (147, 324)
sb19 (184, 232) (234, 263)
sb2 (131, 232) (184, 266)
sb10 (113, 232) (131, 284)
sb64 (65, 500) (112, 550)
sb45 (42, 500) (65, 544)
sb70 (0, 500) (42, 542)
sb23 (53, 480) (102, 500)
sb8 (53, 418) (103, 480)
sb94 (53, 377) (112, 418)
sb38 (53, 354) (110, 377)
sb58 (79, 295) (113, 341)
sb30 (53, 330) (79, 354)
sb33 (53, 295) (75, 330)
sb32 (0, 456) (53, 499)
sb78 (18, 416) (50, 452)
sb6 (0, 416) (18, 456)
sb15 (0, 357) (52, 416)
sb42 (0, 295) (53, 357)
sb51 (66, 232) (104, 289)
sb96 (0, 255) (66, 295)
sb60 (0, 232) (40, 255)
sb36 (280, 187) (347, 226)
sb97 (213, 211) (280, 228)
sb29 (213, 187) (275, 211)
sb17 (147, 187) (213, 231)
sb56 (84, 215) (147, 232)
sb24 (84, 187) (129, 215)
sb95 (338, 60) (357, 111)
sb62 (338, 0) (357, 60)
sb18 (286, 131) (334, 182)
sb26 (246, 131) (286, 186)
sb65 (189, 131) (246, 187)
sb86 (301, 65) (338, 121)
sb1 (301, 0) (338, 65)
sb69 (247, 104) (301, 131)
sb59 (247, 67) (297, 104)
sb63 (211, 86) (247, 131)
sb4 (211, 67) (240, 86)
sb71 (189, 67) (211, 131)
sb66 (239, 0) (300, 67)
sb21 (189, 0) (239, 64)
sb11 (128, 147) (187, 186)
sb41 (128, 120) (183, 147)
sb98 (106, 120) (128, 182)
sb7 (84, 120) (106, 160)
sb90 (149, 87) (188, 120)
sb27 (84, 87) (149, 112)
sb77 (123, 28) (189, 85)
sb12 (123, 0) (184, 28)
sb20 (84, 68) (121, 87)
sb75 (84, 49) (112, 68)
sb5 (84, 0) (123, 49)
sb43 (38, 169) (84, 230)
sb35 (0, 196) (38, 227)
sb89 (0, 169) (38, 196)
sb88 (60, 128) (84, 165)
sb67 (16, 128) (60, 168)
sb9 (0, 128) (16, 169)
sb44 (0, 81) (65, 128)
sb61 (61, 0) (84, 33)
sb54 (0, 63) (61, 81)
sb48 (0, 36) (57, 63)
sb16 (0, 0) (57, 36)

