Final area = 213564
Black area = 14985

block_name lower_left(x,y)coordinate upper_right(x,y)coordinate
sb8 (405, 387) (443, 467)
sb10 (377, 417) (403, 468)
sb45 (377, 387) (405, 417)
sb21 (301, 387) (377, 481)
sb16 (392, 342) (434, 385)
sb7 (301, 342) (392, 387)
sb29 (202, 438) (290, 480)
sb41 (274, 370) (300, 438)
sb14 (274, 342) (301, 370)
sb15 (202, 342) (274, 438)
sb49 (358, 299) (444, 341)
sb9 (294, 299) (358, 342)
sb22 (363, 225) (443, 299)
sb42 (363, 140) (429, 225)
sb37 (320, 221) (363, 294)
sb31 (320, 140) (362, 221)
sb3 (294, 176) (319, 272)
sb40 (294, 140) (320, 176)
sb36 (202, 277) (284, 340)
sb4 (202, 202) (294, 277)
sb39 (202, 140) (294, 202)
sb47 (359, 75) (440, 126)
sb12 (320, 75) (359, 133)
sb46 (413, 0) (443, 56)
sb27 (320, 0) (413, 75)
sb43 (278, 31) (320, 116)
sb6 (278, 0) (314, 31)
sb38 (202, 53) (276, 140)
sb24 (202, 26) (268, 53)
sb2 (202, 0) (278, 26)
sb0 (104, 385) (198, 481)
sb18 (32, 411) (104, 481)
sb34 (0, 411) (32, 478)
sb1 (0, 385) (78, 411)
sb25 (117, 299) (199, 385)
sb11 (74, 299) (117, 379)
sb44 (0, 299) (74, 384)
sb23 (138, 219) (202, 299)
sb48 (138, 137) (201, 219)
sb33 (138, 61) (201, 137)
sb35 (50, 196) (138, 290)
sb19 (50, 166) (136, 196)
sb32 (0, 258) (44, 296)
sb13 (0, 166) (50, 258)
sb20 (44, 117) (131, 166)
sb30 (44, 61) (137, 117)
sb28 (0, 61) (44, 148)
sb17 (100, 0) (194, 61)
sb5 (36, 0) (100, 58)
sb26 (0, 0) (36, 49)

