Final area = 343989
Black area = 70819

block_name lower_left(x,y)coordinate upper_right(x,y)coordinate
sb265 (846, 318) (891, 333)
sb144 (806, 318) (846, 333)
sb136 (769, 318) (806, 330)
sb188 (990, 281) (1030, 318)
sb268 (968, 281) (990, 306)
sb173 (1006, 249) (1031, 281)
sb0 (1006, 222) (1021, 249)
sb155 (968, 266) (993, 280)
sb118 (968, 222) (1006, 266)
sb71 (936, 237) (968, 271)
sb178 (919, 288) (936, 307)
sb22 (884, 288) (919, 317)
sb181 (856, 288) (884, 318)
sb30 (836, 288) (856, 316)
sb274 (908, 252) (929, 285)
sb288 (880, 252) (908, 288)
sb213 (866, 252) (880, 284)
sb101 (836, 252) (866, 288)
sb72 (836, 237) (868, 252)
sb127 (811, 261) (836, 304)
sb45 (811, 237) (836, 261)
sb65 (769, 305) (792, 318)
sb120 (769, 269) (805, 305)
sb210 (787, 256) (811, 269)
sb38 (787, 237) (808, 256)
sb162 (769, 237) (787, 268)
sb218 (769, 222) (812, 237)
sb106 (1021, 0) (1033, 33)
sb151 (896, 204) (938, 222)
sb286 (959, 166) (1000, 202)
sb225 (912, 166) (959, 204)
sb23 (1004, 99) (1021, 139)
sb206 (969, 123) (1004, 165)
sb143 (969, 99) (994, 123)
sb172 (1007, 62) (1020, 89)
sb108 (969, 62) (1007, 99)
sb59 (931, 119) (969, 166)
sb198 (948, 62) (967, 110)
sb294 (931, 93) (948, 119)
sb276 (931, 62) (945, 93)
sb180 (912, 122) (931, 162)
sb175 (912, 107) (928, 122)
sb141 (912, 62) (931, 107)
sb70 (896, 62) (912, 107)
sb80 (880, 171) (895, 207)
sb1 (853, 200) (880, 216)
sb201 (853, 171) (879, 200)
sb295 (853, 158) (896, 171)
sb121 (853, 124) (891, 158)
sb211 (841, 196) (853, 212)
sb283 (828, 196) (841, 211)
sb254 (815, 196) (828, 220)
sb249 (815, 169) (850, 196)
sb21 (787, 169) (815, 213)
sb77 (769, 169) (787, 209)
sb88 (817, 124) (846, 168)
sb266 (769, 124) (817, 169)
sb298 (860, 84) (893, 124)
sb55 (834, 84) (860, 115)
sb149 (834, 62) (881, 84)
sb42 (809, 62) (834, 108)
sb239 (769, 98) (809, 120)
sb76 (769, 62) (808, 98)
sb91 (1000, 0) (1021, 43)
sb75 (980, 24) (1000, 61)
sb154 (958, 43) (980, 60)
sb32 (958, 24) (980, 43)
sb230 (928, 24) (958, 57)
sb177 (887, 24) (928, 61)
sb31 (855, 24) (887, 60)
sb93 (974, 0) (994, 24)
sb19 (938, 0) (974, 23)
sb272 (903, 0) (938, 24)
sb229 (855, 0) (903, 24)
sb280 (822, 37) (853, 59)
sb289 (822, 0) (855, 37)
sb160 (769, 46) (796, 62)
sb133 (807, 0) (822, 43)
sb184 (782, 0) (807, 46)
sb145 (769, 0) (782, 45)
sb26 (751, 306) (769, 333)
sb132 (751, 267) (769, 306)
sb185 (717, 304) (751, 331)
sb243 (717, 267) (751, 304)
sb92 (717, 222) (764, 267)
sb269 (670, 314) (707, 332)
sb163 (695, 270) (717, 303)
sb9 (670, 270) (695, 314)
sb203 (699, 222) (714, 250)
sb192 (670, 222) (699, 270)
sb234 (649, 299) (667, 332)
sb216 (649, 257) (668, 299)
sb236 (604, 305) (643, 332)
sb87 (604, 257) (649, 305)
sb150 (647, 222) (670, 253)
sb174 (604, 241) (647, 257)
sb223 (624, 222) (646, 241)
sb148 (604, 222) (624, 240)
sb119 (734, 155) (762, 200)
sb204 (693, 189) (734, 222)
sb84 (693, 155) (731, 189)
sb64 (654, 206) (687, 221)
sb238 (654, 179) (693, 206)
sb169 (654, 155) (693, 179)
sb170 (625, 168) (654, 213)
sb273 (604, 168) (625, 198)
sb278 (604, 155) (646, 168)
sb167 (733, 118) (769, 155)
sb105 (733, 85) (768, 118)
sb219 (714, 122) (732, 150)
sb46 (714, 109) (733, 122)
sb195 (671, 137) (704, 150)
sb291 (671, 109) (714, 137)
sb14 (650, 109) (671, 153)
sb292 (650, 85) (689, 109)
sb182 (745, 24) (769, 69)
